aac2ic	0456
aac6ia	0456
aac6ib	1670
aac6ie	1670
aac6iia	1670
aac6iib	1670
aad9ib	1708
acra	0845
acrb	0841
acrb	4258
amra	0845
amrb	0841
amrb	1538
ant2ia	1708
aph33ia	3231
aph33ib	3231
aph3ia	3231
aph3ib	3231
aph3ic	3231
aph3iiia	3231
aph3iva	3231
aph3va	3231
aph3vb	3231
aph3via	3231
aph3viia	3231
aph4ib	2334
aph6ia	3570
aph6ib	3570
aph6ic	3570
aph6id	3570
arna	0451
baca	1968
bcra	1131
bl1_acc	1680
bl1_asba	1680
bl1_cmy2	1680
bl1_ec	1680
bl1_fox	1680
bl1_mox	1680
bl1_och	1680
bl1_pao	1680
bl2a_1	0491
bl2a_exo	2367
bl2a_iii2	2367
bl2a_iii	2367
bl2a_kcc	2367
bl2a_nps	2367
bl2a_okp	2367
bl2a_pc	2367
bl2be_ctxm	2367
bl2be_oxy1	2367
bl2be_per	2367
bl2be_shv2	2367
bl2b_rob	2367
bl2b_tem1	2367
bl2b_tem2	2367
bl2b_tem	2367
bl2b_tle	2367
bl2b_ula	2367
bl2c_bro	2367
bl2c_pse1	2367
bl2c_pse3	2367
bl2d_lcr1	2602
bl2d_moxa	2367
bl2d_oxa10	2602
bl2d_oxa1	2602
bl2d_oxa2	2602
bl2d_oxa5	2602
bl2d_oxa9	2602
bl2d_r39	2367
bl2e_cbla	2367
bl2e_cepa	2367
bl2e_cfxa	2367
bl2e_fpm	2367
bl2e_y56	2367
bl2f_nmca	2367
bl2f_sme1	2367
bl2_ges	2367
bl2_kpc	2367
bl2_len	2367
bl2_veb	2367
bl3_ccra	0491
bl3_cit	0491
bl3_cpha	0491
bl3_gim	0491
bl3_imp	0491
bl3_l	0491
bl3_shw	0491
bl3_sim	0491
blt	2814
bmr	2814
cara	0488
cata1	4845
catb1	0110
catb2	0110
catb3	0110
catb4	0110
catb5	0110
ceoa	0845
ceob	0841
cml_e4	2814
cml_e5	2814
cml_e6	2814
cml_e7	2814
cml_e8	2814
emea	2814
emrd	0477
emre	2076
ksga	0030
maca	0845
macb	0577
macb	1136
mdte	0845
mdtf	0841
mdtg	0477
mdth	0477
mdtk	0534
mdtl	0477
mdtm	0477
mdtn	1566
mdto	1289
mdtp	1538
meca	0768
mecr1	2602
mecr1	4219
mefa	2270
mefa	2814
mepa	0534
mexb	4258
mexc	0845
mexd	0841
mexe	0845
mexf	0841
mexh	0845
mexw	0841
mexx	0845
mexy	0841
mfpa	1357
mpha	0510
mphb	3173
mphc	2334
mphc	3173
norm	0534
oleb	0488
opcm	1538
opra	1538
oprm	1538
oprn	1538
otra	0480
otrb	2814
pbp1a	5009
pbp1b	0556
pbp1b	0744
pbp2	0768
pbp2b	0768
pbp2x	0768
pmra	0477
qnra	1357
qnrb	1357
qnrs	1357
rosa	0477
rosa	2223
rosa	2814
rosb	4651
smeb	4258
smee	4258
smef	1538
srmb	0488
sul1	0294
sul2	0294
tcr3	2271
tcr3	2814
tet	0480
tet30	0477
tet30	2814
tet31	2814
tet32	0480
tet33	2814
tet34	0503
tet36	0480
tet37	0426
tet38	2814
tet39	2814
teta	0477
teta	2814
tetb	2814
tetc	0477
tetc	2814
tetd	0477
tetd	2814
tete	2814
teth	0477
teth	2270
teth	2814
tetj	2270
tetk	2814
tetl	2814
tetm	0480
teto	0480
tetpb	0480
tetq	0480
tets	0480
tett	0480
tet_u1	0477
tet_u1	2814
tet_u2	2814
tet_u3	2814
tet_u4	0480
tet_u5	2814
tet_u6	2814
tetv	2814
tetw	0480
tetx	0654
tetx	3380
tety	2814
tetz	2814
tlrc	0488
tolc	1538
tsnr	0566
vanha	1052
vanhb	1052
vanra	0745
vanrb	0745
vanrc	0745
vanrd	0745
vanre	0745
vanrg	0745
vansa	0642
vansb	3850
vansc	0642
vansd	0642
vant	3274
vante	3274
vantg	3274
vanug	3655
vatb	0110
vatc	0110
vate	0110
vgba	4257
vgbb	4257
ykkd	2076
